cityId,PlainsHills,PlainsMountain,PlainsHillsBonus,PlainsRainforest,Plains,PlainsHillsWoodsLux,DesertHillsLux,PlainsWoods,PlainsWheat,PlainsHillsRainforest,Grassland,PlainsHillsWoods,DesertHills,PlainsRainforestBonus,CoastandLake,GrasslandHillsLux,DesertMountain,Desert,PlainsHillsLux,CoastandLakeBonus,GrasslandWoods,GrasslandHillsStone,GrasslandMarsh,GrasslandHills,GrasslandCattle,GrasslandStone,GrasslandLux,Ocean,Tundra,GrasslandHorses,Snow,GrasslandWoodsBonus,GrasslandHillsWoods,PlainsRainforestLux,GrasslandRice,PlainsLux,GrasslandMountain,CoastandLakeReef,DesertFloodplainsLux,DesertFloodplains,CoastandLakeLux,CoastandLakeReefBonus,PlainsHorses,DesertHillsBonus,TundraWoods,TundraBonus,TundraMountain,GrasslandHillsBonus,CoastandLakeReefLux,PlainsWoodsBonus,DesertFloodplainsWheat,GrasslandMarshRice,PlainsHillsRainforestBonus,GrasslandWoodsLux,PlainsWoodsLux,TundraHills,PlainsHillsRainforestLux,GrasslandMarshLux,DesertLux,GrasslandHillsWoodsLux,TundraWoodsLux,GrasslandHillsWoodsBonus,TundraHillsBonus,DesertOasis,PlainsHillsWoodsBonus,TundraHillsWoods,TundraHillsLux,hasRiver,cityHasRiver
11,15.79,5.26,0.0,26.32,10.53,0.0,0.0,10.53,10.53,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.16,1.0
12,10.53,0.0,0.0,10.53,21.05,5.26,0.0,0.0,5.26,10.53,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,5.26,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.32,1.0
13,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,21.05,0.0,5.26,10.53,0.0,5.26,0.0,0.0,15.79,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,5.26,0.0,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.58,1.0
14,5.26,0.0,0.0,0.0,21.05,0.0,0.0,0.0,0.0,0.0,15.79,0.0,0.0,0.0,26.32,0.0,0.0,0.0,0.0,5.26,10.53,0.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.32,1.0
15,5.26,0.0,0.0,15.79,10.53,0.0,0.0,0.0,0.0,5.26,5.26,0.0,0.0,5.26,26.32,0.0,0.0,0.0,0.0,0.0,5.26,0.0,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.58,1.0
16,5.26,5.26,0.0,10.53,0.0,0.0,0.0,5.26,5.26,0.0,10.53,0.0,0.0,5.26,0.0,0.0,21.05,15.79,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63,1.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05,0.0,0.0,0.0,21.05,0.0,0.0,0.0,5.26,0.0,0.0,0.0,5.26,5.26,0.0,0.0,10.53,0.0,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,31.58,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,5.26,5.26,0.0,0.0,5.26,5.26,5.26,15.79,0.0,0.0,0.0,0.0,5.26,5.26,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.11,1.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.11,0.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0,0.0,5.26,0.0,0.0,10.53,0.0,0.0,10.53,0.0,5.26,0.0,0.0,5.26,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.58,1.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,10.53,0.0,0.0,0.0,10.53,0.0,0.0,0.0,36.84,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
