cityId,cultureScore,goldTotal,productionTotal,goldScore,scienceTotal,cityScore,cultureTotal,productionScore,foodScore,cityTotal,foodTotal,scienceScore
1,0,289.80000000000007,492.45000000000005,0,182.68000000000018,0,101.97000000000001,1,0,17,268.0,0
2,0,660.7,490.85,1,196.94000000000003,1,164.7500000000001,0,0,32,321.0,0
3,0,251.5,159.14999999999995,0,180.63,0,153.38000000000002,0,0,18,469.0,0
4,0,262.5,157.3,0,150.22000000000014,0,140.42000000000002,0,0,6,195.0,0
5,0,250.0,105.39999999999999,0,185.06,0,141.82000000000002,0,1,15,500.0,0
6,0,305.0,480.50000000000006,0,203.9200000000002,0,111.22000000000004,0,1,28,529.0,1
7,0,452.2999999999999,422.6000000000003,1,195.2999999999999,0,141.93000000000004,0,0,28,442.0,0
8,0,406.0499999999999,473.9,1,212.50000000000006,0,99.73000000000002,0,0,26,362.0,1
9,0,337.9999999999999,253.40000000000006,0,202.13,1,169.83999999999997,0,0,31,454.0,1
10,1,275.52,174.39999999999995,0,196.41,0,211.89000000000001,0,1,30,576.0,0
11,0,252.5,214.4,0,177.01,0,161.56000000000003,0,0,20,443.0,0
12,0,250.95,144.24999999999994,0,185.06,0,129.82000000000002,0,0,16,494.0,0
13,0,278.5499999999997,83.84999999999994,0,191.77,0,105.19999999999995,0,1,17,567.0,0
14,0,257.5,158.65,0,166.55999999999997,0,143.70000000000005,0,0,11,330.0,0
15,0,253.75,201.64999999999998,0,175.60999999999999,0,157.15999999999997,0,0,17,404.0,0
16,0,264.13,176.4,0,179.14,0,156.28000000000003,0,0,22,458.0,0
17,1,268.80000000000007,149.05000000000004,0,161.71999999999997,0,197.57999999999984,0,0,15,295.0,0
18,0,450.35,321.79999999999984,1,173.06999999999988,0,146.45000000000002,0,0,23,376.0,0
19,1,533.8999999999999,411.7999999999999,1,277.51999999999987,1,172.93000000000018,0,1,38,501.0,1
20,0,386.5499999999997,446.2000000000001,1,239.70999999999995,1,153.09000000000006,0,0,33,492.0,1
21,1,395.95000000000016,542.4,1,256.87000000000006,1,297.00999999999976,1,0,34,259.0,1
22,0,301.75,492.2000000000004,0,220.09000000000006,0,111.82999999999993,1,1,29,529.0,1
